university,policy_type,policy_title,policy_explanation,effective_year
University of California Los Angeles,Attendance Policy,Class Participation and Attendance Guidelines,Defines minimum attendance requirements and participation expectations for successful course completion.,2024
EPFL Lausanne,Research Policy,Open Research and Publication Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2024
Vietnam National University Ho Chi Minh City,Attendance Policy,Graduate Attendance and Participation Policy,Defines minimum attendance requirements and participation expectations for successful course completion.,2024
University of Oxford,Scholarship Policy,Merit-Based Financial Aid Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2024
Indian Institute of Technology Kanpur,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2019
Indian Institute of Technology Bombay,Graduate Program Policy,Graduate Curriculum and Credit Policy,"Establishes guidelines for curriculum structure, credit requirements, and dissertation completion for postgraduate programs.",2022
King's College London,Data Protection Policy,Institutional Data Governance Framework,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2020
University of Warwick,Examination Policy,Examination Conduct and Grading Policy,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2022
University of Amsterdam,Scholarship Policy,Merit-Based Financial Aid Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2018
RWTH Aachen University,Examination Policy,Continuous Assessment Framework,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2018
Indian Institute of Technology Kanpur,Research Policy,Research Ethics and Compliance Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2019
Harvard University,Examination Policy,Graduate Assessment and Evaluation Regulations,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2019
Indian Institute of Technology Delhi,Academic Integrity Policy,Plagiarism Prevention Policy,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2022
